G41.900--->G40.901--->0.75
E14.900100--->E10.900--->0.846153846154
P07.101--->P07.300--->0.988395904437
P57.901--->P59.901--->0.866666666667
E74.002--->P59.901--->0.733333333333
B97.400--->J18.000--->0.75
A49.200--->J18.000--->0.838235294118
P77.x00--->P07.300--->0.75
P28.400--->P23.900--->0.814814814815
A37.900--->J18.000--->0.909090909091
P55.100--->P59.901--->0.955607476636
P61.200--->P23.900--->0.740740740741
P39.200--->P07.300--->0.715517241379
H35.100--->P07.300--->0.871559633028
Z38.500--->P07.300--->0.854243542435
P07.200--->P07.300--->1.0
D55.000--->P59.901--->0.8125
Z37.204--->Z38.500--->0.716049382716
P07.000--->P23.900--->0.811827956989
P07.200--->P22.000--->0.883116883117
Z37.204--->P07.300--->0.864197530864
P28.500--->P23.900--->0.911764705882
P61.200--->P22.000--->0.962962962963
P61.200--->P07.300--->0.962962962963
N13.701--->N39.000--->0.952380952381
P28.400--->P07.300--->0.888888888889
P21.900--->P23.900--->0.712643678161
P07.000--->P22.000--->0.811827956989
P22.000--->P23.900--->0.806157354618
P27.100--->P07.300--->0.735772357724
P22.000--->P07.300--->0.965792474344
P07.200--->P23.900--->0.779220779221
P55.900--->P59.901--->0.935483870968
P07.000--->P07.300--->0.991935483871
P07.101,P22.000,Q21.101--->P07.300,P23.900--->0.792134831461
P59.901,P61.400,Z38.500--->P07.300,P22.000--->0.833333333333
P21.900,P22.000,Q21.101--->P07.300,P23.900--->0.790322580645
P07.101,P59.901,Q25.000--->P07.300,P22.000--->0.756756756757
P07.300,P21.900,Q25.000--->P22.000,P23.900--->0.803921568627
P21.900,P23.900,Q25.000--->P07.300,P22.000--->0.719298245614
P21.900,P22.000,Q25.000--->P07.300,P23.900--->0.911111111111
P07.000,P61.400,Q25.000--->P22.000,P23.900--->0.830188679245
H35.100,P07.000,P23.900--->P07.300,P61.400--->0.756097560976
H35.100,P07.000,P61.400--->P07.300,P23.900--->0.756097560976
H35.100,P23.900,P61.400--->P07.000,P07.300--->0.704545454545
P07.101,P61.400,Q25.000--->P07.300,P22.000--->0.761904761905
H35.100,P07.000,Q21.101--->P07.300,P22.000--->0.875
H35.100,P22.000,Q21.101--->P07.000,P07.300--->0.807692307692
P07.101,P21.900,P22.000--->P07.300,P23.900--->0.861538461538
H35.100,P07.000,P59.901--->P07.300,P22.000--->0.952380952381
H35.100,P22.000,P59.901--->P07.000,P07.300--->0.714285714286
P07.200,P07.300,P21.900--->P22.000,P23.900--->0.714285714286
P07.200,P21.900,P23.900--->P07.300,P22.000--->0.961538461538
P07.200,P21.900,P22.000--->P07.300,P23.900--->0.735294117647
P07.200,P21.900--->P07.300,P22.000,P23.900--->0.714285714286
P07.300,P27.100,P59.901--->P22.000,P61.400--->0.725490196078
P27.100,P59.901,P61.400--->P07.300,P22.000--->0.948717948718
P22.000,P27.100,P59.901--->P07.300,P61.400--->0.755102040816
P27.100,P59.901--->P07.300,P22.000,P61.400--->0.725490196078
P07.000,P59.901,Q25.000--->P22.000,P23.900--->0.821428571429
P07.101,P61.400,Q21.101--->P07.300,P23.900--->0.8
P27.100,P61.400,Q25.000--->P07.300,P23.900--->0.842105263158
P07.000,P27.100,P59.901--->P07.300,P23.900--->0.852941176471
J96.900,P07.101,Q21.101--->P07.300,P23.900--->0.826086956522
P07.000,P59.901,P61.400--->P07.300,P23.900--->0.777777777778
P23.900,P27.100,P59.901--->P22.000,P61.400--->0.711111111111
P27.100,P59.901,P61.400--->P22.000,P23.900--->0.820512820513
P22.000,Q21.101,Z38.500--->P07.300,P23.900--->0.768115942029
P27.100,Q21.101,Q25.000--->P07.300,P22.000--->0.8
P07.000,P59.901,Q25.000--->P07.300,P23.900--->0.821428571429
P07.101,P21.900,P61.400--->P07.300,P23.900--->0.875
P07.000,P59.901,Z38.500--->P07.300,P23.900--->0.714285714286
P07.000,P61.400,Z38.500--->P07.300,P23.900--->0.829787234043
P07.101,P23.900,Q25.000--->P07.300,P22.000--->0.705357142857
P07.101,P22.000,Q25.000--->P07.300,P23.900--->0.822916666667
P07.101,P21.900,P59.901--->P07.300,P23.900--->0.76
P23.900,P27.100,Z38.500--->P07.000,P07.300--->0.730769230769
P07.000,P27.100,Z38.500--->P07.300,P23.900--->0.791666666667
H35.100,P23.900,P59.901--->P07.300,P22.000--->0.952380952381
H35.100,P22.000,P59.901--->P07.300,P23.900--->0.714285714286
P07.000,P23.900,P59.901--->P07.300,P22.000--->0.9
P07.000,P22.000,P59.901--->P07.300,P23.900--->0.736363636364
P07.000,P07.300,P27.100--->P22.000,P23.900--->0.821428571429
P07.000,P23.900,P27.100--->P07.300,P22.000--->0.92
P07.000,P22.000,P27.100--->P07.300,P23.900--->0.884615384615
P07.000,P27.100--->P07.300,P22.000,P23.900--->0.814159292035
H35.100,P23.900,P27.100--->P07.300,P22.000--->0.823529411765
H35.100,P22.000,P27.100--->P07.300,P23.900--->0.875
P07.000,P61.400,Q21.101--->P07.300,P23.900--->0.824175824176
P07.101,Q25.000,Z38.500--->P07.300,P23.900--->0.769230769231
P61.400,Q21.101,Q25.000--->P07.300,P23.900--->0.76404494382
P07.000,P07.300,P61.400--->P22.000,P23.900--->0.707317073171
P07.000,P23.900,P61.400--->P07.300,P22.000--->0.833333333333
P07.000,P22.000,P61.400--->P07.300,P23.900--->0.85798816568
P07.000,P61.400--->P07.300,P22.000,P23.900--->0.703883495146
P07.101,P59.901,Q25.000--->P07.300,P23.900--->0.702702702703
P07.000,P27.100,Q21.101--->P07.300,P61.400--->0.765957446809
P27.100,P61.400,Q25.000--->P07.300,P22.000--->0.868421052632
P07.300,P27.100,Q21.101--->P22.000,P23.900--->0.736111111111
P23.900,P27.100,Q21.101--->P07.300,P22.000--->0.828125
P22.000,P27.100,Q21.101--->P07.300,P23.900--->0.868852459016
